kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sftmx.1.sm_86.ptx 195 : 256 2080 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 194 : 256 1536 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 193 : 256 1888 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 192 : 256 3168 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 94 : 2097152 0 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 93 : 2097152 14939328 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 86 : 131072 20482160 0 0 0 16384 8192 0 0 
sftmx.1.sm_86.ptx 92 : 2097152 14687840 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 91 : 2097152 15998656 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 90 : 2097152 15991872 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 89 : 2097152 20711616 0 131072 65536 0 0 0 0 
sftmx.1.sm_86.ptx 84 : 2097152 12244176 0 0 0 0 0 0 8192 
sftmx.1.sm_86.ptx 83 : 2097152 14193632 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 339 : 256 1408 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 82 : 2097152 14312544 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 81 : 2097152 15564928 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 80 : 2097152 14965408 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 334 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 77 : 32768 225600 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 333 : 2048 9344 0 0 0 256 64 0 0 
sftmx.1.sm_86.ptx 76 : 32768 232000 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 332 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 75 : 32768 243200 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 331 : 2048 90112 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 74 : 32768 249856 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 330 : 2048 18432 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 73 : 32768 264960 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 329 : 2048 55616 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 72 : 32768 367936 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 328 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 71 : 32768 252480 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 327 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 70 : 32768 257280 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 326 : 2048 12288 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 69 : 32768 369856 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 325 : 2048 18464 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 68 : 32768 411456 0 0 0 0 0 0 0 
sftmx.1.sm_86.ptx 324 : 2048 10240 0 0 0 0 0 0 0 
