kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matmul.1.sm_86.ptx 264 : 2048 8424 0 0 0 256 256 0 0 
matmul.1.sm_86.ptx 263 : 2048 18456 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 262 : 2048 18712 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 267 : 16384 84736 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 261 : 2048 15768 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 260 : 2048 20448 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 258 : 16384 82552 0 0 0 0 0 0 256 
matmul.1.sm_86.ptx 257 : 16384 102240 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 256 : 16384 109728 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 255 : 16384 104032 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 197 : 16384 102720 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 196 : 16384 104256 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 193 : 16384 105792 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 191 : 1048576 6173216 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 190 : 1048576 6751136 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 189 : 1048576 10671296 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 188 : 1048576 9876608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 187 : 1048576 5792064 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 186 : 1048576 9511680 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 185 : 1048576 36787488 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 184 : 1048576 35783328 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 183 : 1048576 9440000 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 182 : 1048576 36701056 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 181 : 1048576 35675616 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 180 : 1048576 9440032 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 179 : 1048576 36706176 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 178 : 1048576 35680192 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 92 : 1048576 6125240 0 0 0 0 0 0 16384 
matmul.1.sm_86.ptx 91 : 1048576 9051200 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 90 : 1048576 8128160 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 89 : 1048576 9999808 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 88 : 1048576 9869184 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 87 : 1048576 10902912 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 86 : 1048576 7667072 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 85 : 1048576 7127328 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 84 : 1048576 10166944 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 83 : 1048576 6843904 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 80 : 16384 117184 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 79 : 16384 129536 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 78 : 16384 124608 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 77 : 16384 159936 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 75 : 16384 0 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 74 : 16384 141568 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 73 : 16384 128960 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 72 : 16384 135936 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 71 : 16384 157120 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 70 : 16384 135488 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 69 : 16384 171648 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 68 : 16384 178560 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 67 : 16384 163136 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 66 : 16384 197312 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 65 : 16384 153792 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 47 : 16384 139008 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 174 : 1048576 9447392 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 46 : 16384 153344 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 173 : 1048576 37069664 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 45 : 16384 98304 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 172 : 1048576 36068224 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 44 : 16384 98304 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 171 : 1048576 9456512 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 43 : 16384 98304 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 170 : 1048576 37729216 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 42 : 16384 127424 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 169 : 1048576 36749312 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 100 : 1048576 7789856 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 41 : 16384 241600 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 168 : 1048576 9474528 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 99 : 1048576 7301184 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 40 : 16384 207360 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 167 : 1048576 39055776 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 98 : 1048576 10100288 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 39 : 16384 209536 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 166 : 1048576 38115168 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 97 : 1048576 6842240 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 38 : 16384 208576 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 165 : 1048576 9568512 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 37 : 16384 483072 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 164 : 1048576 45674112 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 36 : 16384 173248 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 163 : 1048576 42849568 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 94 : 131072 29162208 0 0 0 16384 16384 0 0 
matmul.1.sm_86.ptx 35 : 16384 131200 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 162 : 1048576 7746656 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 64 : 16384 135872 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 48 : 16384 112128 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 175 : 1048576 35752000 0 32768 32768 0 0 0 0 
matmul.1.sm_86.ptx 49 : 16384 157568 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 176 : 1048576 36776032 0 65536 32768 0 0 0 0 
matmul.1.sm_86.ptx 50 : 16384 155712 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 177 : 1048576 9439968 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 51 : 16384 123904 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 52 : 16384 125184 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 53 : 16384 0 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 55 : 16384 161536 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 56 : 16384 107520 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 57 : 16384 116096 0 0 0 0 0 0 0 
matmul.1.sm_86.ptx 58 : 16384 152704 0 0 0 0 0 0 0 
